SonnetID,octave_0,octave_1,octave_9,sestet_0,sestet_1,sestet_9,oct0_m_ses0,oct1_m_ses1,comment,
JuanaInesDeLaCruz_70,1,5,2,4,2,,-3,3,,
LopeDeVega_381,1,5,2,4,2,,-3,3,,
LopeDeVega_994,1,5,2,4,2,,-3,3,,
LuisDeUlloaYPereira_86,2,4,2,5,1,,-3,3,,
Quevedo_336,1,5,2,4,2,,-3,3,,
TrilloYFigueroa_3,1,5,2,4,2,,-3,3,,
s048g_0097,1,5,2,4,2,,-3,3,,
AntonioEnriquezGomez_14,1,6,1,3,3,,-2,3,,
AntonioEnriquezGomez_23,1,6,1,3,3,,-2,3,,
AntonioHurtadoDeMendoza_9,3,4,1,5,1,,-2,3,,
ArgensolaBartolome_120,1,6,1,3,3,,-2,3,,
ArgensolaBartolome_123,2,5,1,4,2,,-2,3,,
ArgensolaBartolome_126,2,5,1,4,2,,-2,3,,
ArgensolaBartolome_146,2,5,1,4,2,,-2,3,,
ArgensolaBartolome_49,2,5,1,4,2,,-2,3,,
ArgensolaBartolome_8,2,5,1,4,2,,-2,3,,
ArgensolaLupercio_59,2,5,1,4,2,,-2,3,,
ArgensolaLupercio_60,2,5,1,4,2,,-2,3,,
BocangelYUnzueta_14,2,5,1,4,2,,-2,3,,
BocangelYUnzueta_5,1,6,1,3,3,,-2,3,,
BocangelYUnzueta_62,2,5,1,4,2,,-2,3,,
DiegoHurtadoDeMendoza_7,2,5,1,4,2,,-2,3,,
FcodeBorjaYAragonPrincipeEsquilache_13,2,5,1,4,2,,-2,3,,
FernandoDeHerrera_10,2,5,1,4,2,,-2,3,,
FernandoDeHerrera_121,1,6,1,3,3,,-2,3,,
FernandoDeHerrera_140,2,5,1,4,2,,-2,3,,
FernandoDeHerrera_187,2,5,1,4,2,,-2,3,,
FernandoDeHerrera_95,2,5,1,4,2,,-2,3,,
Gongora_25,3,4,1,5,1,,-2,3,,
GutierreDeCetina_102,2,5,1,4,2,,-2,3,,
GutierreDeCetina_120,1,6,1,3,3,,-2,3,,
GutierreDeCetina_160,2,5,1,4,2,,-2,3,,
GutierreDeCetina_208,2,5,1,4,2,,-2,3,,
JosephDeLitalaYCastelvi_7,2,5,1,4,2,,-2,3,,
JuanDeArguijo_59,1,6,1,3,3,,-2,3,,
JuanDeTassisYPeralta_1,1,6,1,3,3,,-2,3,,
LopeDeVega_1012,2,5,1,4,2,,-2,3,,
LopeDeVega_1043,3,4,1,5,1,,-2,3,,
LopeDeVega_1150,2,5,1,4,2,,-2,3,,
LopeDeVega_1206,1,6,1,3,3,,-2,3,,
LopeDeVega_1311,2,5,1,4,2,,-2,3,,
LopeDeVega_315,2,5,1,4,2,,-2,3,,
LopeDeVega_352,2,5,1,4,2,,-2,3,,
LopeDeVega_385,1,6,1,3,3,,-2,3,,
LopeDeVega_451,1,6,1,3,3,,-2,3,,
LopeDeVega_605,1,6,1,3,3,,-2,3,,
LopeDeVega_648,2,5,1,4,2,,-2,3,,
LopeDeVega_825,1,6,1,3,3,,-2,3,,
LopeDeVega_953,1,6,1,3,3,,-2,3,,
LopeDeVega_972,2,5,1,4,2,,-2,3,,
LopeDeZarate_37,2,5,1,4,2,,-2,3,,
LopezDeMendoza_8,3,4,1,5,1,,-2,3,,
LuisDeUlloaYPereira_59,1,6,1,3,3,,-2,3,,
PedroDePadilla_11,1,6,1,3,3,,-2,3,,
PedroDePadilla_25,2,5,1,4,2,,-2,3,,
PedroSotoDeRojas_120,1,6,1,3,3,,-2,3,,
PedroSotoDeRojas_27,2,5,1,4,2,,-2,3,,
PedroSotoDeRojas_56,2,5,1,4,2,,-2,3,,
