SonnetID	joy	sadness	anger	fear	disgust
Cervantes_53	1	0	0	0	0
Cervantes_54	2	0	0	0	0
Cervantes_55	1	0	0	0	0
Cervantes_56	3	0	0	0	0
Cervantes_58	1	2	1	2	0
Cervantes_59	1	0	0	0	0
Cervantes_6	1	0	0	0	0
Cervantes_60	0	1	0	0	0
Cervantes_68	1	0	0	0	0
Cervantes_69	1	0	0	0	0
Cervantes_70	1	0	1	0	0
Cervantes_71	1	0	0	0	0
Cervantes_73	1	0	0	1	0
Cervantes_75	2	0	0	1	0
CristobalDeVirues_1	1	0	0	0	0
CristobalDeVirues_10	0	1	1	0	1
CristobalDeVirues_2	1	1	1	1	0
CristobalDeVirues_4	1	0	0	0	0
CristobalDeVirues_5	0	1	0	1	0
CristobalDeVirues_6	1	0	0	0	0
CristobalDeVirues_7	2	0	0	0	0
CristobalDeVirues_8	1	0	0	0	0
DiegoHurtadoDeMendoza_1	1	2	1	1	0
DiegoHurtadoDeMendoza_10	0	0	1	0	0
DiegoHurtadoDeMendoza_11	0	1	0	0	0
DiegoHurtadoDeMendoza_12	1	0	0	0	0
DiegoHurtadoDeMendoza_17	1	1	0	0	0
DiegoHurtadoDeMendoza_19	0	1	0	0	0
DiegoHurtadoDeMendoza_2	0	1	1	1	0
DiegoHurtadoDeMendoza_20	1	0	0	0	0
DiegoHurtadoDeMendoza_22	1	2	0	0	0
DiegoHurtadoDeMendoza_23	0	0	1	0	0
DiegoHurtadoDeMendoza_24	2	0	0	0	0
DiegoHurtadoDeMendoza_26	1	0	0	0	0
DiegoHurtadoDeMendoza_27	2	1	0	1	0
DiegoHurtadoDeMendoza_30	3	0	0	0	0
DiegoHurtadoDeMendoza_31	1	0	0	0	0
DiegoHurtadoDeMendoza_33	1	1	0	0	0
DiegoHurtadoDeMendoza_34	0	0	0	1	0
DiegoHurtadoDeMendoza_35	1	1	0	1	0
DiegoHurtadoDeMendoza_38	1	1	0	1	0
DiegoHurtadoDeMendoza_39	0	1	0	1	0
DiegoHurtadoDeMendoza_4	0	1	0	0	0
DiegoHurtadoDeMendoza_40	1	1	0	1	0
DiegoHurtadoDeMendoza_41	0	1	0	0	0
DiegoHurtadoDeMendoza_42	1	3	0	2	0
DiegoHurtadoDeMendoza_43	1	0	1	0	0
DiegoHurtadoDeMendoza_44	1	1	0	1	0
DiegoHurtadoDeMendoza_45	0	1	0	1	0
DiegoHurtadoDeMendoza_46	1	0	0	0	0
DiegoHurtadoDeMendoza_49	1	1	0	0	0
DiegoHurtadoDeMendoza_5	0	2	1	1	1
DiegoHurtadoDeMendoza_53	1	0	0	0	0
DiegoHurtadoDeMendoza_54	0	0	1	0	0
DiegoHurtadoDeMendoza_56	0	1	0	1	0
DiegoHurtadoDeMendoza_57	0	1	1	0	1
DiegoHurtadoDeMendoza_58	1	1	0	0	0
DiegoHurtadoDeMendoza_60	1	0	0	0	0
DiegoHurtadoDeMendoza_7	1	1	1	1	0
DiegoHurtadoDeMendoza_8	1	1	0	0	0
DiegoRamirezPagan_10	3	0	1	0	0
DiegoRamirezPagan_11	0	1	0	1	0
DiegoRamirezPagan_3	1	0	0	0	0
DiegoRamirezPagan_4	1	0	0	0	0
DiegoRamirezPagan_5	1	0	0	0	0
DiegoRamirezPagan_6	1	1	0	1	0
DiegoRamirezPagan_7	2	0	0	0	0
DiegoRamirezPagan_9	2	0	0	0	0
DiegoXimenezAyllon_12	1	1	0	1	0
DiegoXimenezAyllon_13	1	0	0	0	0
DiegoXimenezAyllon_14	1	0	1	0	0
DiegoXimenezAyllon_15	1	0	0	0	0
DiegoXimenezAyllon_16	2	1	0	1	0
DiegoXimenezAyllon_17	3	0	0	0	0
DiegoXimenezAyllon_19	2	0	0	0	0
DiegoXimenezAyllon_21	1	0	0	0	0
DiegoXimenezAyllon_22	1	0	0	0	0
DiegoXimenezAyllon_23	3	0	0	0	0
DiegoXimenezAyllon_24	2	0	0	0	0
DiegoXimenezAyllon_25	1	0	0	0	0
DiegoXimenezAyllon_26	3	0	0	0	0
DiegoXimenezAyllon_28	0	0	0	1	0
DiegoXimenezAyllon_29	1	0	0	0	0
DiegoXimenezAyllon_31	4	1	0	1	0
DiegoXimenezAyllon_32	1	0	0	0	0
DiegoXimenezAyllon_33	2	0	0	0	0
DiegoXimenezAyllon_36	2	0	0	0	0
DiegoXimenezAyllon_39	1	0	0	0	0
DiegoXimenezAyllon_41	2	0	0	0	0
DiegoXimenezAyllon_42	2	0	1	0	0
DiegoXimenezAyllon_45	2	0	0	0	0
DiegoXimenezAyllon_46	1	1	0	1	0
DiegoXimenezAyllon_47	0	0	1	0	0
DiegoXimenezAyllon_49	2	0	0	0	0
DiegoXimenezAyllon_5	1	0	0	0	0
DiegoXimenezAyllon_50	1	0	0	0	0
DiegoXimenezAyllon_53	1	0	0	0	0
DiegoXimenezAyllon_54	2	0	0	0	0
DiegoXimenezAyllon_55	0	1	0	1	0
