sID	_m	o0	o1	o9	s0	s1	s9	oa0	oa1	sa0	sa1	oms1	oms0	oms10	oms01	o1s1mo0s0	ov	sv	oa	sa	omsv	omsa
LopeDeVega_699	both	1	6	1	1	5		1	7		6	1	0	5	-4	9	0.6005	0.6488	0.5613	0.5130	-0.0483	0.0483
JuanBoscan_22	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5952	0.6437	0.5390	0.6081	-0.0484	-0.0690
BernardinoDeRebolledo_4	both	3	5		2	4			8		6	1	1	3	-1	4	0.5354	0.5837	0.5191	0.5615	-0.0484	-0.0425
s149g_0289	both	2	6		1	5			8		6	1	1	5	-3	8	0.6043	0.6533	0.5507	0.5738	-0.0490	-0.0230
LopeDeVega_567	both	1	5	2	1	4	1	2	6	1	5	1	0	4	-3	7	0.6068	0.6561	0.6303	0.6284	-0.0493	0.0019
BernardinoDeRebolledo_5	left_only	2	5	1	2	4						1	0	3	-2	5	0.5703	0.6195			-0.0493	
s427g_0929	both	2	5		2	4		1	6		6	1	0	3	-2	5	0.5581	0.6083	0.6225	0.5674	-0.0501	0.0551
LopeDeVega_196	both	5	3		3	2	1	1	7	1	5	1	2	0	3	-3	0.3738	0.4242	0.6920	0.5878	-0.0504	0.1042
FernandoDeHerrera_274	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5493	0.5998	0.5530	0.4610	-0.0505	0.0920
ArgensolaBartolome_20	both	2	5	1	2	4		2	6		6	1	0	3	-2	5	0.4982	0.5488	0.5504	0.6558	-0.0506	-0.1054
Quevedo_15	both	2	6		1	5			8		6	1	1	5	-3	8	0.5295	0.5804	0.5668	0.5785	-0.0509	-0.0117
LopeDeVega_610	both	1	6	1	1	5		1	7		6	1	0	5	-4	9	0.5569	0.6085	0.5007	0.5889	-0.0516	-0.0882
LopeDeZarate_1	both	1	6	1	1	5		1	7		6	1	0	5	-4	9	0.5569	0.6085	0.5007	0.5889	-0.0516	-0.0882
CancerYVelasco_12	both	2	5	1	2	4		1	7		6	1	0	3	-2	5	0.5478	0.5998	0.4724	0.5142	-0.0519	-0.0418
JuanaInesDeLaCruz_45	both	2	5	1	2	4		1	7		6	1	0	3	-2	5	0.5247	0.5766	0.6956	0.6844	-0.0520	0.0112
